n, h, t, In, ^In, S, Ifin, I, err, mul_s, div_s
0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.0001000000,0.0001000000,16.6666666667,2.2222222222,-2.0634920635,14.6031746032,2.4542109028,14.2124557639,0,0
1,0.0001000000,0.0002000000,-77.7777777778,4.0740740741,11.6931216931,-66.0846560847,2.4991613434,80.2769391212,0,0
1,0.0001000000,0.0003000000,457.4074074074,-6.4197530864,-66.2610229277,391.1463844797,2.4999846395,454.9074227679,0,0
1,0.0001000000,0.0004000000,-2575.3086419753,53.0452674897,375.4791299236,-2199.8295120517,2.4999997187,2577.8086416940,0,0
1,0.0001000000,0.0005000000,14610.0823045267,-283.9231824417,-2127.7150695669,12482.3672349598,2.4999999948,14607.5823045319,0,0
1,0.0001000000,0.0006000000,-82773.7997256516,1625.5647005030,12057.0520608792,-70716.7476647724,2.4999999999,82776.2997256515,0,0
1,0.0001000000,0.0007000000,469068.1984453589,-9194.8666361835,-68323.2950116489,400744.9034337100,2.5000000000,469065.6984453589,0,0
1,0.0001000000,0.0008000000,-2658036.4578570342,52120.9109383732,387165.3383993439,-2270871.1194576900,2.5000000000,2658038.9578570342,0,0
1,0.0001000000,0.0009000000,15062223.2611898556,-295335.1619841149,-2193936.9175962815,12868286.3435935751,2.5000000000,15062220.7611898556,0,0
1,0.0001000000,0.0010000000,-85352581.8134091794,1673582.5845766505,12432309.1997122616,-72920272.6136969179,2.5000000000,85352584.3134091794,0,0
1,0.0001000000,0.0011000000,483664646.9426519871,-9483617.9792676866,-70449752.1317028105,413214894.8109492064,2.5000000000,483664644.4426519871,0,0
1,0.0001000000,0.0012000000,-2740766316.0083608627,53740518.5491835475,399215262.0796491504,-2341551053.9287118912,2.5000000000,2740766318.5083608627,0,0
1,0.0001000000,0.0013000000,15531009140.7140426636,-304529588.4453735352,-2262219818.4513449669,13268789322.2626972198,2.5000000000,15531009138.2140426636,0,0
1,0.0001000000,0.0014000000,-88009051780.7128906250,1725667684.5237817764,12819245637.8909549713,-75189806142.8219299316,2.5000000000,88009051783.2128906250,0,0
1,0.0001000000,0.0015000000,498717960107.3731689453,-9778783528.9680938721,-72642391948.0487518311,426075568159.3244018555,2.5000000000,498717960104.8731689453,0,0
1,0.0001000000,0.0016000000,-2826068440591.7812500000,55413106680.8192138672,411640221038.9429321289,-2414428219552.8383789062,2.5000000000,2826068440594.2812500000,0,0
1,0.0001000000,0.0017000000,16014387830036.7617187500,-314007604507.9758300781,-2332627919220.6767578125,13681759910816.0859375000,2.5000000000,16014387830034.2617187500,0,0
1,0.0001000000,0.0018000000,-90748197703525.0000000000,1779376425561.8632812500,13218224875583.8378906250,-77529972827941.1562500000,2.5000000000,90748197703527.5000000000,0,0
1,0.0001000000,0.0019000000,514239786986658.3750000000,-10083133078167.2265625000,-74903274294975.0937500000,439336512691683.2500000000,2.5000000000,514239786986655.8750000000,0,0
1,0.0001000000,0.0020000000,-2914025459591046.5000000000,57137754109630.9375000000,424451887671525.3750000000,-2489573571919521.0000000000,2.5000000000,2914025459591049.0000000000,0,0
1,0.0001000000,0.0021000000,16512810937682610.0000000000,-323780606621225.0000000000,-2405227363471976.5000000000,14107583574210634.0000000000,2.5000000000,16512810937682608.0000000000,0,0
1,0.0001000000,0.0022000000,-93572595313534784.0000000000,1834756770853625.0000000000,13629621726341202.0000000000,-79942973587193584.0000000000,2.5000000000,93572595313534784.0000000000,0,0
1,0.0001000000,0.0023000000,530244706776697152.0000000000,-10396955034837200.0000000000,-77234523115933472.0000000000,453010183660763648.0000000000,2.5000000000,530244706776697152.0000000000,0,0
1,0.0001000000,0.0024000000,-3004720005067950080.0000000000,58916078530744128.0000000000,437662297656956352.0000000000,-2567057707410993664.0000000000,2.5000000000,3004720005067950080.0000000000,0,0
